_step,actor/entropy,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,val-core/nemogym_code/acc/mean@1,val-core/nemogym_if/acc/mean@1,val-core/nemogym_mcqa/acc/mean@1,val-core/nemogym_structured/acc/mean@1,val-core/nemogym_workplace/acc/mean@1
90,2.81788778,101.93156501,1e-06,0,0,0.00654655,0,0,0.03846154,0,0,0.14285714
91,,,,,,,,0,0,0.03703704,0,0.14285714
92,,,,,,,,0,0,0.03703704,0,0.14285714
93,,,,,,,,0,0,0.07407407,0,0.14285714
94,,,,,,,,0,0.03846154,0.07407407,0,0.14285714
95,3.04793787,2.84119678,1e-06,0,0,0.04175634,0,0,0.03846154,0,0,0.14285714
96,,,,,,,,0,0,0,0,0.14285714
97,,,,,,,,0,0,0,0,0.14285714
98,,,,,,,,0,0.03846154,0.03703704,0,0.14285714
99,,,,,,,,0,0.03846154,0,0,0.14285714
